city;city_ascii;state_code;state_name;county_fips;county_name;population;densidad;incorporated;latitude;longitude
Adak            ;Adak            ;AK;Alaska              ;2016;Aleutians West      ;188;2;Y;51.9;-176.6
Akhiok          ;Akhiok          ;AK;Alaska              ;2150;Kodiak Island       ;164;8;Y;56.9;-154.2
Akiachak        ;Akiachak        ;AK;Alaska              ;2050;Bethel              ;461;25;N;60.9;-161.4
Akiak           ;Akiak           ;AK;Alaska              ;2050;Bethel              ;298;60;Y;60.9;-161.2
Akutan          ;Akutan          ;AK;Alaska              ;2013;Aleutians East      ;760;4;Y;54.2;-165.7
Alakanuk        ;Alakanuk        ;AK;Alaska              ;2158;Kusilvak            ;1063;12;Y;62.7;-164.6
Alatna          ;Alatna          ;AK;Alaska              ;2290;Yukon-Koyukuk       ;30;;N;66.6;-152.8
Alcan Border    ;Alcan Border    ;AK;Alaska              ;2240;Southeast Fairbanks ;121;;Y;62.7;-141.1
Aleknagik       ;Aleknagik       ;AK;Alaska              ;2070;Dillingham          ;133;;Y;59.3;-158.7
Aleneva         ;Aleneva         ;AK;Alaska              ;2150;Kodiak Island       ;24;;N;58.1;-152.9
Allakaket       ;Allakaket       ;AK;Alaska              ;2290;Yukon-Koyukuk       ;209;5;Y;66.6;-152.6
Ambler          ;Ambler          ;AK;Alaska              ;2188;Northwest Arctic    ;275;10;Y;67.1;-157.9
Anaktuvuk Pass  ;Anaktuvuk Pass  ;AK;Alaska              ;2185;North Slope         ;251;18;Y;68.2;-151.7
Anchor Point    ;Anchor Point    ;AK;Alaska              ;2122;Kenai Peninsula     ;2247;9;N;59.8;-151.7
Anchorage       ;Anchorage       ;AK;Alaska              ;2020;Anchorage           ;248902;66;Y;61.2;-149.1
Anderson        ;Anderson        ;AK;Alaska              ;2068;Denali              ;212;;Y;64.3;-149.2
Angoon          ;Angoon          ;AK;Alaska              ;2105;Hoonah-Angoon       ;497;7;Y;57.5;-134.5
Aniak           ;Aniak           ;AK;Alaska              ;2050;Bethel              ;557;34;Y;61.6;-159.5
Anvik           ;Anvik           ;AK;Alaska              ;2290;Yukon-Koyukuk       ;85;3;Y;62.7;-160.2
Arctic Village  ;Arctic Village  ;AK;Alaska              ;2290;Yukon-Koyukuk       ;229;;N;68.1;-145.5
Atka            ;Atka            ;AK;Alaska              ;2016;Aleutians West      ;43;;Y;52.2;-174.2
Atmautluak      ;Atmautluak      ;AK;Alaska              ;2050;Bethel              ;143;91;N;60.9;-162.3
Atqasuk         ;Atqasuk         ;AK;Alaska              ;2185;North Slope         ;135;;Y;70.5;-157.4
Attu Station    ;Attu Station    ;AK;Alaska              ;2016;Aleutians West      ;19;;Y;52.9;173.1
Badger          ;Badger          ;AK;Alaska              ;2090;Fairbanks North Star;19434;114;N;64.8;-147.4
Bear Creek      ;Bear Creek      ;AK;Alaska              ;2122;Kenai Peninsula     ;1287;12;N;60.2;-149.4
Beaver          ;Beaver          ;AK;Alaska              ;2290;Yukon-Koyukuk       ;88;;N;66.4;-147.3
Beluga          ;Beluga          ;AK;Alaska              ;2122;Kenai Peninsula     ;5;;N;61.2;-151.2
Bethel          ;Bethel          ;AK;Alaska              ;2050;Bethel              ;6548;56;Y;60.8;-161.8
Bettles         ;Bettles         ;AK;Alaska              ;2290;Yukon-Koyukuk       ;2;;Y;66.9;-151.5
Big Delta       ;Big Delta       ;AK;Alaska              ;2240;Southeast Fairbanks ;627;5;N;64.1;-145.7
Big Lake        ;Big Lake        ;AK;Alaska              ;2170;Matanuska-Susitna   ;2769;9;N;61.5;-150
Birch Creek     ;Birch Creek     ;AK;Alaska              ;2290;Yukon-Koyukuk       ;4;;N;66.3;-145.9
Brevig Mission  ;Brevig Mission  ;AK;Alaska              ;2180;Nome                ;621;98;Y;65.3;-166.5
Buckland        ;Buckland        ;AK;Alaska              ;2188;Northwest Arctic    ;684;310;Y;66;-161.1
Buffalo Soapston;Buffalo Soapston;AK;Alaska              ;2170;Matanuska-Susitna   ;937;16;Y;61.7;-149.1
Butte           ;Butte           ;AK;Alaska              ;2170;Matanuska-Susitna   ;3888;44;N;61.6;-149
Cantwell        ;Cantwell        ;AK;Alaska              ;2068;Denali              ;210;;N;63.4;-148.8
Central         ;Central         ;AK;Alaska              ;2290;Yukon-Koyukuk       ;38;;N;65.5;-144.6
Chalkyitsik     ;Chalkyitsik     ;AK;Alaska              ;2290;Yukon-Koyukuk       ;118;5;N;66.6;-143.8
Chefornak       ;Chefornak       ;AK;Alaska              ;2050;Bethel              ;413;30;Y;60.2;-164.3
Chena Ridge     ;Chena Ridge     ;AK;Alaska              ;2090;Fairbanks North Star;5863;62;Y;64.8;-148
Chenega         ;Chenega         ;AK;Alaska              ;2063;Chugach             ;48;;N;60.1;-148
Chevak          ;Chevak          ;AK;Alaska              ;2158;Kusilvak            ;817;275;Y;61.5;-165.6
Chickaloon      ;Chickaloon      ;AK;Alaska              ;2170;Matanuska-Susitna   ;173;;N;61.8;-148.4
Chicken         ;Chicken         ;AK;Alaska              ;2240;Southeast Fairbanks ;12;;N;64.1;-141.8
Chignik         ;Chignik         ;AK;Alaska              ;2164;Lake and Peninsula  ;42;;Y;56.3;-158.4
Chignik Lagoon  ;Chignik Lagoon  ;AK;Alaska              ;2164;Lake and Peninsula  ;35;;N;56.3;-158.5
Chignik Lake    ;Chignik Lake    ;AK;Alaska              ;2164;Lake and Peninsula  ;52;;N;56.3;-158.8
Chistochina     ;Chistochina     ;AK;Alaska              ;2066;Copper River        ;52;;N;62.6;-144.8
Chitina         ;Chitina         ;AK;Alaska              ;2066;Copper River        ;71;;N;61.5;-144.3
Chuathbaluk     ;Chuathbaluk     ;AK;Alaska              ;2050;Bethel              ;89;7;Y;61.6;-159.2
Circle          ;Circle          ;AK;Alaska              ;2290;Yukon-Koyukuk       ;42;;N;65.8;-144.2
Clam Gulch      ;Clam Gulch      ;AK;Alaska              ;2122;Kenai Peninsula     ;251;7;N;60.2;-151.4
Clark's Point   ;Clark's Point   ;AK;Alaska              ;2070;Dillingham          ;37;4;Y;58.8;-158.5
Coffman Cove    ;Coffman Cove    ;AK;Alaska              ;2198;Prince of Wales-Hyde;220;7;Y;56;-132.8
Cohoe           ;Cohoe           ;AK;Alaska              ;2122;Kenai Peninsula     ;1469;8;N;60.3;-151.3
Cold Bay        ;Cold Bay        ;AK;Alaska              ;2013;Aleutians East      ;123;;Y;55.2;-162.7
Coldfoot        ;Coldfoot        ;AK;Alaska              ;2290;Yukon-Koyukuk       ;268;2;N;67.2;-150.1
College         ;College         ;AK;Alaska              ;2090;Fairbanks North Star;12734;262;N;64.9;-147.8
Cooper Landing  ;Cooper Landing  ;AK;Alaska              ;2122;Kenai Peninsula     ;263;;N;60.5;-149.8
Copper Center   ;Copper Center   ;AK;Alaska              ;2066;Copper River        ;281;8;N;62;-145.4
Cordova         ;Cordova         ;AK;Alaska              ;2063;Chugach             ;2248;14;Y;60.5;-145.6
Covenant Life   ;Covenant Life   ;AK;Alaska              ;2100;Haines              ;9;;N;59.4;-136.1
Craig           ;Craig           ;AK;Alaska              ;2198;Prince of Wales-Hyde;1206;69;Y;55.5;-133.1
Crooked Creek   ;Crooked Creek   ;AK;Alaska              ;2050;Bethel              ;57;;N;61.8;-158.1
Crown Point     ;Crown Point     ;AK;Alaska              ;2122;Kenai Peninsula     ;57;6;N;60.4;-149.4
Deering         ;Deering         ;AK;Alaska              ;2188;Northwest Arctic    ;150;11;Y;66.1;-162.7
Delta Junction  ;Delta Junction  ;AK;Alaska              ;2240;Southeast Fairbanks ;1182;32;Y;64.1;-145.7
Deltana         ;Deltana         ;AK;Alaska              ;2240;Southeast Fairbanks ;2131;;Y;63.9;-145.2
Denali Park     ;Denali Park     ;AK;Alaska              ;2068;Denali              ;915;2;N;63.6;-148.7
Diamond Ridge   ;Diamond Ridge   ;AK;Alaska              ;2122;Kenai Peninsula     ;1336;12;N;59.7;-151.6
